Date,Open,High,Low,Close,Adj Close,Volume
2012-11-19,309.075012,312.500000,307.000000,311.299988,309.432129,36240
2012-11-20,312.500000,315.950012,309.000000,310.625000,308.761200,33254
2012-11-21,310.399994,315.000000,310.350006,314.424988,312.538422,40696
2012-11-22,315.000000,315.750000,311.500000,314.125000,312.240295,25960
2012-11-23,314.500000,314.725006,311.000000,312.049988,310.177673,21046
2012-11-26,311.750000,315.000000,310.274994,313.000000,311.122070,36568
2012-11-27,314.850006,317.875000,311.750000,317.424988,315.520477,47592
2012-11-29,319.000000,328.250000,317.875000,324.325012,322.379089,192814
2012-11-30,325.950012,336.899994,325.000000,334.350006,332.343872,165760
2012-12-03,332.500000,333.975006,329.024994,332.674988,330.678894,61698
2012-12-04,332.100006,337.375000,330.825012,335.875000,333.859741,95788
2012-12-05,336.250000,337.000000,330.750000,332.125000,330.132263,67314
2012-12-06,332.524994,335.899994,326.100006,333.649994,331.648071,313878
2012-12-07,334.174988,335.299988,330.725006,331.850006,329.858856,69484
2012-12-10,330.575012,338.350006,330.575012,336.299988,334.282166,62328
2012-12-11,337.750000,338.475006,329.424988,333.075012,331.076538,73694
2012-12-12,333.975006,336.000000,328.500000,329.924988,327.945374,152972
2012-12-13,332.500000,332.500000,323.549988,326.250000,324.292542,73144
2012-12-14,325.500000,333.225006,325.399994,331.899994,329.908569,50064
2012-12-17,332.000000,332.375000,327.000000,330.475006,328.492126,318040
2012-12-18,331.774994,333.000000,326.000000,331.299988,329.312134,60172
2012-12-19,334.075012,334.475006,329.500000,333.799988,331.797180,50640
2012-12-20,332.649994,333.299988,329.000000,330.399994,328.417603,134634
2012-12-21,328.899994,330.325012,323.674988,324.649994,322.702057,53484
2012-12-24,324.649994,326.500000,321.250000,322.875000,320.937775,24520
2012-12-26,323.924988,326.500000,320.325012,324.649994,322.702057,47230
2012-12-27,323.975006,326.750000,323.875000,324.674988,322.726929,97118
2012-12-28,326.225006,327.625000,323.500000,325.575012,323.621582,188288
2012-12-31,325.575012,326.475006,323.250000,324.799988,322.851166,34950
2013-01-01,325.274994,328.000000,324.500000,324.750000,322.801514,62578
2013-01-02,327.475006,332.325012,326.149994,328.274994,326.305328,229746
2013-01-03,328.000000,331.549988,326.500000,327.575012,325.609589,82580
2013-01-04,327.774994,327.825012,323.475006,324.899994,322.950592,96568
2013-01-07,326.500000,326.924988,323.000000,324.450012,322.503357,103656
2013-01-08,324.450012,326.774994,321.399994,326.024994,324.068817,98042
2013-01-09,325.500000,327.875000,323.250000,324.274994,322.329376,41224
2013-01-10,325.024994,330.700012,324.825012,326.600006,324.640381,100948
2013-01-11,327.950012,328.575012,314.049988,315.200012,313.308838,94150
2013-01-14,317.000000,317.000000,311.549988,314.424988,312.538422,79462
2013-01-15,315.000000,317.799988,309.375000,314.899994,313.010559,195710
2013-01-16,315.075012,316.575012,311.000000,312.049988,310.177673,50476
2013-01-17,312.500000,314.899994,310.500000,314.125000,312.240295,63606
2013-01-18,313.600006,315.000000,309.750000,313.575012,311.693542,510234
2013-01-21,314.950012,317.250000,313.000000,314.524994,312.637848,80196
2013-01-22,315.799988,323.500000,314.600006,320.274994,318.353333,1554986
2013-01-23,322.250000,327.500000,319.100006,322.000000,320.067993,176336
2013-01-24,322.000000,327.399994,320.600006,326.200012,324.242798,92756
2013-01-25,326.500000,333.500000,325.875000,332.424988,330.430420,132574
2013-01-28,335.500000,336.500000,331.299988,334.000000,331.996002,674774
2013-01-29,334.000000,339.399994,331.250000,336.250000,334.232483,160716
2013-01-30,336.149994,341.500000,335.000000,338.174988,336.145966,86754
2013-01-31,338.850006,341.549988,337.850006,338.975006,336.941162,47168
2013-02-01,339.975006,342.399994,333.799988,336.125000,334.108246,747196
2013-02-04,335.575012,340.149994,332.075012,337.024994,335.002869,59718
2013-02-05,334.000000,339.975006,332.000000,339.075012,337.040558,35546
2013-02-06,339.475006,347.000000,339.475006,346.325012,344.247101,193588
2013-02-07,343.500000,347.200012,342.500000,343.575012,341.513519,59812
2013-02-08,342.950012,344.000000,337.625000,339.500000,337.463013,39762
2013-02-11,339.149994,339.799988,334.174988,335.799988,333.785156,50274
2013-02-12,337.225006,337.225006,334.500000,335.549988,333.536652,37036
2013-02-13,335.000000,338.950012,332.750000,333.625000,331.623260,53398
2013-02-14,333.500000,336.000000,330.600006,333.524994,331.523804,27538
2013-02-15,333.475006,336.500000,331.774994,335.024994,333.014832,27650
2013-02-18,335.049988,335.975006,331.399994,332.375000,330.380707,31942
2013-02-19,333.174988,338.000000,333.174988,336.850006,334.828888,18976
2013-02-20,338.000000,339.524994,333.450012,334.049988,332.045685,63582
2013-02-21,333.500000,333.924988,329.049988,330.049988,328.069672,41366
2013-02-22,331.000000,334.750000,329.000000,332.375000,330.380707,25754
2013-02-25,331.375000,331.500000,327.075012,329.674988,327.696899,21330
2013-02-26,330.075012,332.000000,323.674988,329.924988,327.945374,20602
2013-02-27,331.024994,332.100006,325.500000,327.075012,325.112549,38268
2013-02-28,326.500000,331.725006,325.500000,328.850006,326.876862,58536
2013-03-01,327.575012,328.250000,325.500000,326.674988,324.714966,38138
2013-03-04,326.774994,328.125000,322.500000,326.500000,324.540955,21994
2013-03-05,329.450012,330.750000,326.799988,327.825012,325.858002,27258
